1160300301	学生1	男	2000-1-1	2016年	1603101
1160300302	学生2	男	2000-1-1	2016年	1603101
1160300303	学生3	男	2000-1-1	2016年	1603101
1160300304	学生4	男	2000-1-1	2016年	1603102
1160300305	学生5	男	2000-1-1	2016年	1603102
1160300306	学生6	男	2000-1-1	2016年	1603102
1160300307	学生7	男	2000-1-1	2016年	1603103
1160300308	学生8	男	2000-1-1	2016年	1603103
1160300309	学生9	男	2000-1-1	2016年	1603103
1160300310	学生10	男	2000-1-1	2016年	1603104
1160300311	学生11	男	2000-1-1	2016年	1603104
1160300312	学生12	男	2000-1-1	2016年	1603104
1160300313	学生13	男	2000-1-1	2016年	1603105
1160300314	学生14	男	2000-1-1	2016年	1603105
1160300315	学生15	男	2000-1-1	2016年	1603105
1160300316	学生16	男	2000-1-1	2016年	1603106
1160300317	学生17	男	2000-1-1	2016年	1603106
1160300318	学生18	男	2000-1-1	2016年	1603106
1160300319	学生19	男	2000-1-1	2016年	1603107
1160300320	学生20	男	2000-1-1	2016年	1603107
1160300321	学生21	男	2000-1-1	2016年	1603107
1160300322	学生22	男	2000-1-1	2016年	1603108
1160300323	学生23	男	2000-1-1	2016年	1603108
1160300324	学生24	男	2000-1-1	2016年	1603108
1160300325	学生25	男	2000-1-1	2016年	1603109
1160300326	学生26	男	2000-1-1	2016年	1603109
1160300327	学生27	男	2000-1-1	2016年	1603109
1160300328	学生28	男	2000-1-1	2016年	1603109
1160300329	学生29	男	2000-1-1	2016年	1603109
1160300330	学生30	男	2000-1-1	2016年	1603109
